id,name,room_type,bed_type,bed,bedrooms,bathrooms,host_id,host_name,street,country,latitude,longitude,price,number_of_reviews,minimum_nights,availability_365
25997982,casa da praia,Entire home/apt,Real Bed,,1,1.0,195406007,Justino,"Povoa de Varzim, Porto District, Portugal",Portugal,41.38792,-8.77257,40.00,2,5,177
26008844,DUPLEX DELUX APARTMENT SAGRADA FAMILIA,Entire home/apt,Real Bed,,2,1.0,96299106,"Olvan 00, S.L.","Barcelona, CT, Spain",Spain,41.39985,2.17331,55.00,0,32,262
26014383,WOW! NEW MODERN BATHROOM *Kaanapali Beach* - G105,Entire home/apt,Real Bed,,1,2.0,108986794,Maui Kaanapali Vacation Rentals,"Kaanapali, HI, United States",United States,20.92698,-156.69251,182.00,6,3,208
26014922,Grand Opening! 20th Flr. Apt. w/ View and Parking!,Entire home/apt,Real Bed,,0,1.0,92196431,Hing Chau,"Honolulu, HI, United States",United States,21.28486,-157.83596,115.00,39,1,77
26023825,AMAZING OLD-PORT LOFT **SUPER HOST STATUS**,Entire home/apt,Real Bed,,1,1.0,94208257,Samuel,"Montréal, Québec, Canada",Canada,45.51031,-73.55364,149.00,37,1,202
26044607,Özel müstakil villa,Entire home/apt,Real Bed,,3,4.0,190942953,Ebru,"İstanbul, Sarıyer, Turkey",Turkey,41.16868,29.04304,801.00,0,3,91
260451,Fort Greene brownstone 1BR- SUBLET,Entire home/apt,Real Bed,,1,1.0,52335,Alexander,"Brooklyn, NY, United States",United States,40.69142,-73.97203,70.00,4,7,0
26048057,The Tiny Boho,Entire home/apt,Real Bed,,1,1.0,195764124,Pedro,"Porto, Porto, Portugal",Portugal,41.16068,-8.62537,65.00,10,1,364
26060837,Peacefull single room in Dancing Flat,Private room,Real Bed,,1,1.0,64201847,Evrim,"Şişli, İstanbul, Turkey",Turkey,41.05279,28.98097,58.00,3,1,262
2606204,SINGLE ROOM NEAR THE AIRPORT,Private room,Real Bed,,1,1.0,7109425,Montserrat,"El Prat de Llobregat, Catalunya, Spain",Spain,41.33371,2.0978,22.00,5,1,216
26064830,Cozy North Shore Studio,Entire home/apt,Real Bed,,1,1.0,137388953,Sara,"Waialua, HI, United States",United States,21.57044,-158.1092,120.00,3,3,0
260703,Blue Sanctuary Queen Bedroom 2nd Floor,Private room,Real Bed,,1,2.5,569544,Lynn,"Honolulu, HI, United States",United States,21.36338,-157.84679,45.00,27,3,9
2607583,Exquisite Furnished 1-BR Studio,Entire home/apt,Real Bed,,1,1.0,13347167,AFI Apartments,"New York, NY, United States",United States,40.77231,-73.95588,108.00,6,30,310
26077159,Logement de charme en plein cœur du Plateau,Entire home/apt,Real Bed,,2,1.0,195984935,Sophie,"Montréal, Québec, Canada",Canada,45.52531,-73.58125,140.00,4,2,38
26077593,City center Garden,Entire home/apt,Real Bed,,1,1.0,184243783,Oporto,"Porto, Porto, Portugal",Portugal,41.14802,-8.60269,50.00,16,2,322
26084478,Huge 3 bedroom apartment Chatswood,Entire home/apt,Real Bed,,3,2.5,192040273,Michael,"Chatswood, NSW, Australia",Australia,-33.79566,151.19258,350.00,0,10,89
2609433,"Treetop Suite, Magical Location, Wonderful People",Private room,Real Bed,,1,1.0,1503015,Cecilia,"Annandale, NSW, Australia",Australia,-33.88452,151.1729,71.00,12,2,30
26100353,tripleRoomprivate,Private room,Real Bed,,1,2.0,20225857,Efeito Oposto,"Porto, Porto, Portugal",Portugal,41.15544,-8.62063,40.00,8,1,365
26103478,ŞİŞLİ SQUARE CENTRAL HOUSE,Entire home/apt,Real Bed,,1,1.0,196206522,Yücel,"İstanbul, İstanbul, Turkey",Turkey,41.06116,28.988,121.00,48,1,175
26105391,Vintage apartment,Entire home/apt,Real Bed,,2,1.0,196221110,Manuela,"Barcelona, Catalunya, Spain",Spain,41.39684,2.18089,100.00,0,31,180
26106075,Apartment with 3 terraces in Porto,Entire home/apt,Real Bed,,2,1.0,78110758,Diana,"Porto, Porto, Portugal",Portugal,41.17727,-8.5879,100.00,1,2,0
26106160,Enchanted Gràcia Loft with a Patio,Entire home/apt,Real Bed,,1,2.0,15353690,Richard,"Barcelona, Catalunya, Spain",Spain,41.40447,2.15063,129.00,0,31,365
26108786,Ocean view Luxury updated 2 bedroom 2 ensuite bath,Entire home/apt,Real Bed,,2,2.0,95843330,Reza,"Kihei, HI, United States",United States,20.71271,-156.44492,169.00,20,4,93
26110157,(Hidden by Airbnb) ★Freitas 709★,Entire home/apt,Real Bed,,1,1.0,81876389,Mario,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,-22.96827522014027,-43.18298112387927,97.00,2,2,156
26112559,U13 One-Bedroom Apartment 3-pax (Pyrmont St),Entire home/apt,Real Bed,,1,1.0,183826922,Vanessa,"Pyrmont, NSW, Australia",Australia,-33.87332,151.19653,178.00,0,1,282
26113123,Room in shared apartment,Private room,Real Bed,,1,2.0,56347573,Sergi,"Barcelona, Catalunya, Spain",Spain,41.37794,2.145,25.00,2,4,9
26120284,Blackandwhitehome Poble Nou Attic I,Entire home/apt,Real Bed,,3,2.0,26828317,Isabel,"Barcelona, Catalunya, Spain",Spain,41.40255,2.20117,135.00,4,2,212
26120502,NEW! Loft in Porto Center (close to Bolhão),Entire home/apt,Real Bed,,1,1.5,196344302,Marina,"Porto, Porto District, Portugal",Portugal,41.15036,-8.60273,69.00,16,2,289
